name,rank,category,description,no_items (thousands),no_owners (thousands),volume_traded (ethereum),floor_price (ethereum),year_first_sale,avg_price,twitter_followers,algorithm,artist_curation/collaboration,featured_auction
CryptoPunks,1,collectibles,"CryptoPunks launched as a fixed set of 10,000 items in mid-2017 and became one of the inspirations for the ERC-721 standard. They have been featured in places like The New York Times, Christie’s of London, Art|Basel Miami, and The PBS NewsHour.",10,3.1,547.8,,2017,31.8629,88.9,1,0,1
Art Blocks Curated,2,art,Art Blocks Curated is the most strictly curated offering in the Art Blocks product suite. Submissions are made by individual artists or collaborations and approved by the curation board before they go live. These highly innovative releases by renowned artists reflect astounding beauty and innovation both artistically and technically.,40.2,7.7,219.7,1.328,2020,,91.2,0,1,1
Bored Ape Yacht Club,3,collectibles,"The Bored Ape Yacht Club is a collection of 10,000 unique Bored Ape NFTs— unique digital collectibles living on the Ethereum blockchain. Your Bored Ape doubles as your Yacht Club membership card, and grants access to members-only benefits, the first of which is access to THE BATHROOM, a collaborative graffiti board. Future areas and perks can be unlocked by the community through roadmap activation.",10,5.6,183,37.3,2021,8.6599,199,1,0,1
Rarible,4,art,"Create and sell digital collectibles secured with blockchain technology. Rarible is home to thousands of artists and collectors, creating and exchanging immutable art without using code. Trade with RARI token on OpenSea.",317.6,193.8,97.4,,2020,0.00004,235.8,0,1,0
Mutant Ape Yacht Club,5,collectibles,"The MUTANT APE YACHT CLUB is a collection of up to 20,000 Mutant Apes that can only be created by exposing an existing Bored Ape to a vial of MUTANT SERUM or by minting a Mutant Ape in the public sale.",16.1,9.2,86.8,3.95,2021,6.8516,199,1,0,0
Meebits,6,collectibles,"The Meebits are 20,000 unique 3D voxel characters, created by a custom generative algorithm, then registered on the Ethereum blockchain.",20,5.3,71.8,3.8,2021,5.5503,88.9,1,0,1
CryptoKitties,7,collectibles,"CryptoKitties is a game centered around breedable, collectible, and oh-so-adorable creatures we call CryptoKitties! Each cat is one-of-a-kind and 100% owned by you; it cannot be replicated, taken away, or destroyed.",2000,108.4,69.9,,2017,0.0909,46.9,1,0,1
Loot (for Adventurers),8,collectibles,"Loot is randomized adventurer gear generated and stored on chain. Stats, images, and other functionality are intentionally omitted for others to interpret. Feel free to use Loot in any way you want.",7.8,2.5,69,5.19,2021,6.9736,62.8,1,0,0
Decentraland,9,virtual worlds,"Decentraland is an Ethereum blockchain-powered virtual world, developed and owned by its users, who can create, experience, and monetize content and applications. Join a growing community of virtual world inhabitants who are building the world's largest alternate reality economy on the blockchain. In this store, you can buy and sell land assets in MANA, DCL's native currency.",97,5,58.7,1.106,2017,,185.6,0,0,1
Art Blocks Playground,10,art,"Art Blocks Playground is the place where artists who have previously been approved for curated drops are encouraged to play and innovative. Like all Art Blocks releases, these projects must meet a quality standard, but with the Playground, experimentation is encouraged.",21.4,5.7,53.7,0.323,2021,,91.2,0,1,0
